asset_id,relative_path,baseline_rating,candidate_rating,expected_rating,expected_action,whole_asset_or_clip,content_title,summary,tags,clip_suggestions,error
asset_4fcc6d22fe1d,Action6/DJI_20260613111904_0083_D.MP4,2,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_5632cd93ba0d,Action6/DJI_20260612134026_0001_D.MP4,2,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_1d7faf8ae47d,Robert-iPhone/IMG_4293.MOV,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_399e110ef06d,Robert-iPhone/IMG_4328.MOV,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_19c90ef73031,jixin-Nano/dji_mimo_20260612_161722_20260612161723_1781257158009_video.MP4,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_de4c87c97932,Action6/DJI_20260613144503_0109_D.MP4,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_9aecc49cacb4,Robert-iPhone/IMG_4343.MOV,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_73db1344d9d0,Robert-iPhone/IMG_4281.MOV,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_50fc29c93238,Robert-iPhone/IMG_4291.MOV,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_f47b58e38c53,Action6/DJI_20260613102503_0054_D.MP4,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_36065cea16d5,Action6/DJI_20260613143925_0104_D.MP4,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_588339a6dd99,Robert-iPhone/IMG_4289.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_6ad9a06742ae,Robert-iPhone/IMG_4307.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_f9b03c8bf769,jixin-Nano/dji_mimo_20260613_102348_20260613102348_1781320061900_video.MP4,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_1c5fed861a8e,Action6/DJI_20260613145058_0115_D.MP4,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_377fc3f9400a,Robert-iPhone/IMG_4347.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_35c7b26bc726,Robert-iPhone/IMG_4278.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_3c58cc80f7b5,QiWei-Action/dji_mimo_20230108_014246_20230107174246_1783443331727_video(1).mp4,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_49ba9c5ba398,Robert-iPhone/IMG_4283.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_19c9d3250a4a,Baymax-Phone/448c94fb03a77fe3591be85d5d9bcb6d_raw.mp4,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_db7ca8e21e85,Robert-iPhone/copy_8D60C065-B0E7-4821-964F-D77B058248C6.mov,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_7d780ff509fe,Robert-iPhone/IMG_4288.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_0536b39c93fa,Action6/DJI_20260613112538_0090_D.MP4,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_8e9bddf980e5,jixin-Nano/dji_mimo_20260613_103226_20260613103227_1781320043386_video.MP4,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_b9d7cb9dd0a1,Robert-iPhone/IMG_4338.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_2dc71a50d977,Robert-iPhone/IMG_4345.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_c054fc048448,Robert-iPhone/IMG_4301.MOV,5,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_3dbefc668b8b,jixin-Nano/dji_mimo_20260612_153416_20260612153417_1781257191686_video.MP4,5,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_7a799c8168cd,Robert-iPhone/IMG_4292.MOV,4,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
asset_164c5788ff39,Robert-iPhone/IMG_4308.MOV,3,,,,,,,,[],ProviderError: ProviderNetworkError: ConnectError
